project_number,donor_name,agency_name,recipient_name,year,usd_commitment,usd_disbursement,project_title,short_description,long_description
,UNICEF,UNICEF,Benin,2010,0.04714,0.04714,40413. Birth registration,BIRTH REGISTRATION,Birth registration
,UNICEF,UNICEF,Niger,2010,0.18836,0.18836,40413. Birth registration,BIRTH REGISTRATION,Birth registration
,UNICEF,UNICEF,Chad,2010,0.02204,0.02204,40413. Birth registration,BIRTH REGISTRATION,Birth registration
,UNICEF,UNICEF,Ghana,2010,0.17992,0.17992,40413. Birth registration,BIRTH REGISTRATION,Birth registration
,UNICEF,UNICEF,CÙte d'Ivoire,2010,0.12845,0.12845,40413. Birth registration,BIRTH REGISTRATION,Birth registration
,UNICEF,UNICEF,Guinea-Bissau,2010,0.01234,0.01234,40413. Birth registration,BIRTH REGISTRATION,Birth registration
,UNICEF,UNICEF,Mali,2010,0.06674,0.06674,40413. Birth registration,BIRTH REGISTRATION,Birth registration
,UNICEF,UNICEF,Mauritania,2010,0.00465,0.00465,40413. Birth registration,BIRTH REGISTRATION,Birth registration
,UNICEF,UNICEF,Nigeria,2010,0.43297,0.43297,40413. Birth registration,BIRTH REGISTRATION,Birth registration
,UNICEF,UNICEF,Togo,2010,0.01259,0.01259,40413. Birth registration,BIRTH REGISTRATION,Birth registration
,UNICEF,UNICEF,Burkina Faso,2010,0.11196,0.11196,40413. Birth registration,BIRTH REGISTRATION,Birth registration
15051,Netherlands,Ministry of Foreign Affairs (DGIS),Bangladesh,2010,0.078903,0.5478,Universal Birth Registration,UNIVERSAL BIRTH REGISTRATION,OS
,UNICEF,UNICEF,Cambodia,2010,0.00019,0.00019,40413. Birth registration,BIRTH REGISTRATION,Birth registration
,UNICEF,UNICEF,Thailand,2010,0.04522,0.04522,40413. Birth registration,BIRTH REGISTRATION,Birth registration
,UNICEF,UNICEF,Sudan,2010,0.01059,0.01059,40413. Birth registration,BIRTH REGISTRATION,Birth registration
SCR.549263,EU Institutions,European Commission,Bangladesh,2010,0,0.0716664,Bangladesh - Birth Registration,POPULATION POLICY AND ADMIN. MGMT,"Falling under Regulation Nos 975/1999 and 976/1999, modified by 2240/2004"
,UNICEF,UNICEF,Peru,2010,0.00468,0.00468,40413. Birth registration,BIRTH REGISTRATION,Birth registration
,UNICEF,UNICEF,Sierra Leone,2010,0.00378,0.00378,40413. Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Botswana,2011,0.00090549,0.00090549,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Burundi,2011,0.06995,0.06995,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Angola,2011,0.004551,0.004551,Birth registration,BIRTH REGISTRATION,Birth registration
40413,UNICEF,UNICEF,Ethiopia,2011,,,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Guinea-Bissau,2011,0.0283948,0.0283948,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Bangladesh,2011,0.422485,0.422485,Birth registration,BIRTH REGISTRATION,Birth registration
40413,UNICEF,UNICEF,Guinea-Bissau,2011,,,Birth registration,BIRTH REGISTRATION,Birth registration
40413,UNICEF,UNICEF,CÙte d'Ivoire,2011,,,Birth registration,BIRTH REGISTRATION,Birth registration
40413,UNICEF,UNICEF,Madagascar,2011,,,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Niger,2011,0.457412,0.457412,Birth registration,BIRTH REGISTRATION,Birth registration
40413,UNICEF,UNICEF,Nigeria,2011,,,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Sao Tome and Principe,2011,0.0178396,0.0178396,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Sierra Leone,2011,0.00370517,0.00370517,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Eswatini,2011,0.0001519,0.0001519,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,South Sudan,2011,0.0514278,0.0514278,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Togo,2011,0.0365,0.0365,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Burkina Faso,2011,0.0697971,0.0697971,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,El Salvador,2011,0.1,0.1,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Guatemala,2011,0.0738237,0.0738237,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Jamaica,2011,0.0993108,0.0993108,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Mexico,2011,0.120587,0.120587,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Panama,2011,0.12,0.12,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Peru,2011,0.10012,0.10012,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Kyrgyzstan,2011,0.00048211,0.00048211,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,India,2011,0.0260241,0.0260241,Birth registration,BIRTH REGISTRATION,Birth registration
40413,UNICEF,UNICEF,Nepal,2011,,,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Pakistan,2011,0.0767595,0.0767595,Birth registration,BIRTH REGISTRATION,Birth registration
40413,UNICEF,UNICEF,Bangladesh,2011,,,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Indonesia,2011,0.0291675,0.0291675,Birth registration,BIRTH REGISTRATION,Birth registration
2011-EELL-0292-0001,Spain,Municipalities,Niger,2011,0.0182522,0.0182522,Accelerate the birth registration in Niger.,ACCELERATE THE BIRTH REGISTRATION IN NIGER.,"En Niger solo el 32% de los niÒos est·n registrados. Un niÒo sin registro no tiene derechos y est· en situaciÛn de vulnerabilidad, expuesto a toda clase de abusos.El proyecto pretende mejorar el marco jurÌdico y normativo de Niger mediante la promociÛn del registro de nacimientos para proteger a todos los niÒos y niÒas. Asimismo se pretende dotar de capacidades a las instituciones y los proveedores de servicios a nivel nacional, regional y de comundiad, e informar y concienciar a las comunidades sobre la importancia de la inscripciÛn de los niÒos y niÒas como garantÌa de acceso a sus derechosCon este programa se pretende elevar la tasa de nacimientos al 48% y para ello se registrar·n 300.000 niÒos y niÒas de 5 a 15 aÒos.Niger est· dividido en 7 regiones y 1 distrito capital.El proeycto se desarrollar· en 2 regiones"
4041,UNICEF,UNICEF,"South of Sahara, regional",2011,0.003,0.003,Birth registration,BIRTH REGISTRATION,Birth registration
2010/24,Italy,Central administration,Burkina Faso,2011,0,0.108904,BRAVO! Burkina Faso - Birth registry of 'nonexistent' children,BRAVO! BURKINA FASO - BIRTH REGISTRY OF 'NONEXISTENT' CHILDREN,"Creation of an information campaign on the importance of birth registration and a public awareness campaign aimed at children and families to ensure that everyone has access to registration later in the campaign to free birth registration; awareness campaign among the population of Burkina Faso to register children within the time allowed by law (60 days after birth); information campaign to help people in 22 provinces, starting from rural areas with the lower rates of birth registration"
4041,UNICEF,UNICEF,Central African Republic,2011,2e-04,2e-04,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Chad,2011,0.0143255,0.0143255,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Democratic Republic of the Congo,2011,0.720412,0.720412,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Benin,2011,,,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Gambia,2011,0.0189864,0.0189864,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Ghana,2011,0.271446,0.271446,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Guinea,2011,0.198174,0.198174,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,CÙte d'Ivoire,2011,0.0522812,0.0522812,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Liberia,2011,0.0133815,0.0133815,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Madagascar,2011,0.291628,0.291628,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Honduras,2011,0.0483441,0.0483441,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Malawi,2011,0.0333654,0.0333654,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Mali,2011,0.1336,0.1336,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Nigeria,2011,1.0364,1.0364,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Namibia,2011,0.0354243,0.0354243,Birth registration,BIRTH REGISTRATION,Birth registration
40413,UNICEF,UNICEF,Uganda,2011,,,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Zambia,2011,0.0364496,0.0364496,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Bolivia,2011,0.106694,0.106694,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Haiti,2011,0.009789,0.009789,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,"West Indies, regional",2011,0.164861,0.164861,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Guyana,2011,0.14097,0.14097,Birth registration,BIRTH REGISTRATION,Birth registration
40413,UNICEF,UNICEF,Iran,2011,,,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Colombia,2011,0.145415,0.145415,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Ecuador,2011,0.179216,0.179216,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Azerbaijan,2011,0.00026975,0.00026975,Birth registration,BIRTH REGISTRATION,Birth registration
40413,UNICEF,UNICEF,Afghanistan,2011,,,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Afghanistan,2011,0.151623,0.151623,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Thailand,2011,0.00059157,0.00059157,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Viet Nam,2011,0.013802,0.013802,Birth registration,BIRTH REGISTRATION,Birth registration
2011-EELL-0064-0001,Spain,Municipalities,Niger,2011,0.0131257,0.0131257,Accelerate the birth registration (Niger).,ACCELERATE THE BIRTH REGISTRATION (NIGER).,Contribuir a la defensa de los derechos de la infancia en NÌger mediante el incremento de la tasa nacional de registro de nacimientos de los menores en las regiones de MaradÌ y de Zinder y a travÈs del apoyo al Gobierno de NÌger en su polÌtica nacional como refuerzo institucional.
4041,UNICEF,UNICEF,"America, regional",2011,0.150381,0.150381,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Cameroon,2011,0.0445582,0.0445582,Birth registration,BIRTH REGISTRATION,Birth registration
40413,UNICEF,UNICEF,Chad,2011,,,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Gabon,2011,0.00447118,0.00447118,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Eritrea,2011,0.005,0.005,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Uganda,2011,0.244499,0.244499,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Dominican Republic,2011,0.109886,0.109886,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Belize,2011,0.10924,0.10924,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Paraguay,2011,0.090854,0.090854,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Nicaragua,2011,0.108616,0.108616,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Myanmar,2011,0.029743,0.029743,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Cambodia,2011,4.9e-05,4.9e-05,Birth registration,BIRTH REGISTRATION,Birth registration
SCR.CTR.280650.01.1,EU Institutions,European Commission,Indonesia,2012,0,0.122967,EMPOWERING CIVIL SOCIETY TO ENGAGE FOR THE PROMOTION OF THE RIGHT TO IDENTITY AND NATIONALITY,EMPOWERING CIVIL SOCIETY TO ENGAGE FOR THE PROMOTION OF THE RIGHT TO IDENTITY AND NATIONALITY,The objctive is to promote the Rights of the Child through the promotion of good governance processes at district level administration and improvement of birth registration system.
SCR.CTR.286011.01.1,EU Institutions,European Commission,"Bilateral, unspecified",2012,6.94087,3.27929,"BREAKING WITH BROKEN SYSTEMS THROUGH A PARTNERSHIP FOR THE LEGAL IDENTITY OF AFRICAN, ASIAN AND PACIFIC ISLANDS CHILDREN","BREAKING WITH BROKEN SYSTEMS THROUGH A PARTNERSHIP FOR THE LEGAL IDENTITY OF AFRICAN, ASIAN AND PACIFIC ISLANDS CHILDREN",Supporting Birth registration
2010/24,Italy,Central administration,Burkina Faso,2012,,0.0205913,BRAVO! Burkina Faso - Birth registry of 'nonexistent' children,BRAVO! BURKINA FASO - BIRTH REGISTRY OF 'NONEXISTENT' CHILDREN,Creation of an information campaign on the importance of birth registration and a public awareness campaign aimed at children and families to ensure that everyone has access to to free birth registration
4041,UNICEF,UNICEF,Angola,2012,0.002722,0.002722,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Burundi,2012,0.135307,0.135307,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Cameroon,2012,0.148298,0.148298,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Central African Republic,2012,0.00846054,0.00846054,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Democratic Republic of the Congo,2012,0.699879,0.699879,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Benin,2012,0.0774812,0.0774812,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Ethiopia,2012,0.00285824,0.00285824,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Gambia,2012,0.174453,0.174453,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Ghana,2012,0.0740723,0.0740723,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Guinea,2012,0.172472,0.172472,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,CÙte d'Ivoire,2012,0.0805332,0.0805332,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Liberia,2012,0.0131016,0.0131016,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Madagascar,2012,0.218825,0.218825,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Mali,2012,0.0153183,0.0153183,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Malawi,2012,0.00296274,0.00296274,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Mozambique,2012,0.0216881,0.0216881,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Niger,2012,0.162641,0.162641,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Nigeria,2012,1.27308,1.27308,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Sao Tome and Principe,2012,0.00377932,0.00377932,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Sierra Leone,2012,0.00913176,0.00913176,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Djibouti,2012,0.00985083,0.00985083,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,South Sudan,2012,0.0301926,0.0301926,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Tanzania,2012,0.0180732,0.0180732,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Burkina Faso,2012,0.270446,0.270446,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,"South of Sahara, regional",2012,0.0716633,0.0716633,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Togo,2012,0.155779,0.155779,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Uganda,2012,0.396112,0.396112,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Zambia,2012,0.109574,0.109574,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Dominican Republic,2012,0.0937803,0.0937803,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,El Salvador,2012,0.0523594,0.0523594,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Guatemala,2012,0.0288442,0.0288442,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Honduras,2012,0.0111192,0.0111192,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Belize,2012,0.0668656,0.0668656,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Mexico,2012,0.0446888,0.0446888,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Nicaragua,2012,0.0844878,0.0844878,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Panama,2012,0.10337,0.10337,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Colombia,2012,0.0856901,0.0856901,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Ecuador,2012,0.00528208,0.00528208,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Guyana,2012,0.00581614,0.00581614,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Paraguay,2012,0.0449654,0.0449654,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Peru,2012,0.12704,0.12704,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,"America, regional",2012,0.00175236,0.00175236,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Kyrgyzstan,2012,0.0085154,0.0085154,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Afghanistan,2012,0.704789,0.704789,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,India,2012,0.0265066,0.0265066,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Pakistan,2012,0.884864,0.884864,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Bangladesh,2012,0.182781,0.182781,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Indonesia,2012,0.0271334,0.0271334,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Malaysia,2012,0.00202065,0.00202065,Birth registration,BIRTH REGISTRATION,Birth registration
4041,UNICEF,UNICEF,Fiji,2012,0.00197282,0.00197282,Birth registration,BIRTH REGISTRATION,Birth registration
2040/A0/04/835/194,UNICEF,UNICEF,India,2013,0.00077338,0.00077338,IR67-TN-BIRTH REGISTRATION SYSTEMS,IR67-TN-BIRTH REGISTRATION SYSTEMS,IR67-TN-BIRTH REGISTRATION SYSTEMS
2040/A0/04/835/183,UNICEF,UNICEF,India,2013,0.0036309,0.0036309,IR67-ASM-BIRTH REGISTRATION SYSTEMS,IR67-ASM-BIRTH REGISTRATION SYSTEMS,IR67-ASM-BIRTH REGISTRATION SYSTEMS
SCR.CTR.280650,EU Institutions,European Commission,Indonesia,2013,0,0.111962,Empowering Civil Society to Engage for the Promotion of the Right to Identity and Nationality,EMPOWERING CIVIL SOCIETY TO ENGAGE FOR THE PROMOTION OF THE RIGHT TO IDENTITY AND NATIONALITY,The objctive is to promote the Rights of the Child through the promotion of good governance processes at district level administration and  improvement of birth registration system.
0060/A0/06/010/002,UNICEF,UNICEF,Afghanistan,2013,0,0,IR-10.2:BIRTH REGISTRATION,IR-10.2:BIRTH REGISTRATION,IR-10.2:BIRTH REGISTRATION
1620/A0/04/001/005,UNICEF,UNICEF,Ghana,2013,0.0672983,0.0672983,IR 005 BIRTH REGISTRATION,IR 005 BIRTH REGISTRATION,IR 005 BIRTH REGISTRATION
6980/A0/04/003/005,UNICEF,UNICEF,Namibia,2013,0.0112078,0.0112078,BIRTH AND DEATH REGISTRATION,BIRTH AND DEATH REGISTRATION,BIRTH AND DEATH REGISTRATION
6890/A0/05/402/007,UNICEF,UNICEF,Mozambique,2013,0.0374563,0.0374563,BIRTH REGISTRATION,BIRTH REGISTRATION,BIRTH REGISTRATION
4230/A0/04/420/003,UNICEF,UNICEF,Togo,2013,0.0454515,0.0454515,7.3. BIRTH REGISTRATION,7.3. BIRTH REGISTRATION,7.3. BIRTH REGISTRATION
D000509001,Canada,Global Affairs Canada,"America, regional",2013,0.00364007,0.00364007,Workshop: Strengthening Civil Registration and Vital Statistics Systems though Innovative Approaches / SÈminaire sur le renforcement des systËmes d'enregistrement et statistiques des faits d'Ètat civil,WORKSHOP: STRENGTHENING CIVIL REGISTRATION AND VITAL STATISTICS SYSTEMS THOUGH INNOVATIVE APPROACHES / S…MINAIRE SUR LE RENFORCEMENT DES SYST»MES D'EN,Workshop: Strengthening Civil Registration and Vital Statistics Systems though Innovative Approaches / SÈminaire sur le renforcement des systËmes d'enregistrement et statistiques des faits d'Ètat civil
D000509001,Canada,Global Affairs Canada,"Europe, regional",2013,0.00364007,0.00364007,Workshop: Strengthening Civil Registration and Vital Statistics Systems though Innovative Approaches / SÈminaire sur le renforcement des systËmes d'enregistrement et statistiques des faits d'Ètat civil,WORKSHOP: STRENGTHENING CIVIL REGISTRATION AND VITAL STATISTICS SYSTEMS THOUGH INNOVATIVE APPROACHES / S…MINAIRE SUR LE RENFORCEMENT DES SYST»MES D'EN,Workshop: Strengthening Civil Registration and Vital Statistics Systems though Innovative Approaches / SÈminaire sur le renforcement des systËmes d'enregistrement et statistiques des faits d'Ètat civil
D000509001,Canada,Global Affairs Canada,"South of Sahara, regional",2013,0.00364007,0.00364007,Workshop: Strengthening Civil Registration and Vital Statistics Systems though Innovative Approaches / SÈminaire sur le renforcement des systËmes d'enregistrement et statistiques des faits d'Ètat civil,WORKSHOP: STRENGTHENING CIVIL REGISTRATION AND VITAL STATISTICS SYSTEMS THOUGH INNOVATIVE APPROACHES / S…MINAIRE SUR LE RENFORCEMENT DES SYST»MES D'EN,Workshop: Strengthening Civil Registration and Vital Statistics Systems though Innovative Approaches / SÈminaire sur le renforcement des systËmes d'enregistrement et statistiques des faits d'Ètat civil
D000509001,Canada,Global Affairs Canada,"Asia, regional",2013,0.00364007,0.00364007,Workshop: Strengthening Civil Registration and Vital Statistics Systems though Innovative Approaches / SÈminaire sur le renforcement des systËmes d'enregistrement et statistiques des faits d'Ètat civil,WORKSHOP: STRENGTHENING CIVIL REGISTRATION AND VITAL STATISTICS SYSTEMS THOUGH INNOVATIVE APPROACHES / S…MINAIRE SUR LE RENFORCEMENT DES SYST»MES D'EN,Workshop: Strengthening Civil Registration and Vital Statistics Systems though Innovative Approaches / SÈminaire sur le renforcement des systËmes d'enregistrement et statistiques des faits d'Ètat civil
2040/A0/04/835/181,UNICEF,UNICEF,India,2013,0.171717,0.171717,IR67-DEL-BIRTH REGISTRATION SYSTEMS,IR67-DEL-BIRTH REGISTRATION SYSTEMS,IR67-DEL-BIRTH REGISTRATION SYSTEMS
6810/A0/05/920/001,UNICEF,UNICEF,Angola,2013,0.0524985,0.0524985,BIRTH REGISTRATION,BIRTH REGISTRATION,BIRTH REGISTRATION
0750/A0/04/806/004,UNICEF,UNICEF,Central African Republic,2013,0.00013485,0.00013485,4.1.4 : BIRTH REGISTRATION,4.1.4 : BIRTH REGISTRATION,4.1.4 : BIRTH REGISTRATION
1410/A0/05/304/001,UNICEF,UNICEF,Ethiopia,2013,0.152642,0.152642,001  CIVIL REGISTRATION ACT,001  CIVIL REGISTRATION ACT,001  CIVIL REGISTRATION ACT
2040/A0/04/835/190,UNICEF,UNICEF,India,2013,0.00209357,0.00209357,IR67-MP-BIRTH REGISTRATION SYSTEMS,IR67-MP-BIRTH REGISTRATION SYSTEMS,IR67-MP-BIRTH REGISTRATION SYSTEMS
2670/A0/05/204/103,UNICEF,UNICEF,Madagascar,2013,0.25671,0.25671,IR 104 - BIRTH REGISTRATION,IR 104 - BIRTH REGISTRATION,IR 104 - BIRTH REGISTRATION
2700/A0/05/010/001,UNICEF,UNICEF,Malaysia,2013,0.0024242,0.0024242,IR 010/001 BIRTH REGISTRATION POLICY,IR 010/001 BIRTH REGISTRATION POLICY,IR 010/001 BIRTH REGISTRATION POLICY
3120/A0/05/801/005,UNICEF,UNICEF,Nicaragua,2013,0.00146315,0.00146315,1.5 BIRTH REGISTRATION,1.5 BIRTH REGISTRATION,1.5 BIRTH REGISTRATION
3390/A0/04/006/003,UNICEF,UNICEF,Peru,2013,0.12829,0.12829,BIRTH REGISTRATION,BIRTH REGISTRATION,BIRTH REGISTRATION
3300/A0/04/104/026,UNICEF,UNICEF,Pakistan,2013,0.281493,0.281493,IR 4.3 UNIVERSAL BIRTH REGISTRATION,IR 4.3 UNIVERSAL BIRTH REGISTRATION,IR 4.3 UNIVERSAL BIRTH REGISTRATION
4030/A0/04/007/004,UNICEF,UNICEF,Eswatini,2013,0.00064736,0.00064736,STRENGTHEN BIRTH REGISTRATION FOR U-5,STRENGTHEN BIRTH REGISTRATION FOR U-5,STRENGTHEN BIRTH REGISTRATION FOR U-5
4380/A0/04/107/002,UNICEF,UNICEF,Uganda,2013,0.474971,0.474971,IR 3.2 BIRTH REGISTRATION,IR 3.2 BIRTH REGISTRATION,IR 3.2 BIRTH REGISTRATION
1260/A0/04/803/002,UNICEF,UNICEF,Dominican Republic,2013,0.0252133,0.0252133,UNIVERSAL BIRTH REGISTRATION,UNIVERSAL BIRTH REGISTRATION,UNIVERSAL BIRTH REGISTRATION
6850/A0/03/001/016,UNICEF,UNICEF,Guinea-Bissau,2013,0.00939564,0.00939564,BIRTH REGISTRATION,BIRTH REGISTRATION,BIRTH REGISTRATION
4980/A0/04/810/010,UNICEF,UNICEF,Zambia,2013,0.271567,0.271567,IR 410 BIRTH REGISTRATION INCREASED,IR 410 BIRTH REGISTRATION INCREASED,IR 410 BIRTH REGISTRATION INCREASED
1260/A0/04/803/002,UNICEF,UNICEF,Dominican Republic,2014,0.0395,0.0395,UNIVERSAL BIRTH REGISTRATION,UNIVERSAL BIRTH REGISTRATION,UNIVERSAL BIRTH REGISTRATION
